"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"160";"Schleswig-Holstein";NA;NA;"Germany";"2020/03/23";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"161";"Schleswig-Holstein";"0";"4";"Germany";"2020/03/23";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"162";"Schleswig-Holstein";"60";"79";"Germany";"2020/03/29";"2020";"13";2;0;0;2;"Germany";"AgeGender"
"163";"Schleswig-Holstein";"80";NA;"Germany";"2020/03/29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"164";"Schleswig-Holstein";"35";"59";"Germany";"2020/03/29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"165";"Schleswig-Holstein";"15";"34";"Germany";"2020/03/29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"166";"Schleswig-Holstein";"5";"14";"Germany";"2020/03/29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"167";"Schleswig-Holstein";NA;NA;"Germany";"2020/03/29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"168";"Schleswig-Holstein";"0";"4";"Germany";"2020/03/29";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"169";"Schleswig-Holstein";"60";"79";"Germany";"2020/11/04";"2020";"45";1;0;0;1;"Germany";"AgeGender"
"170";"Schleswig-Holstein";"80";NA;"Germany";"2020/11/04";"2020";"45";2;4;0;6;"Germany";"AgeGender"
"171";"Schleswig-Holstein";"35";"59";"Germany";"2020/11/04";"2020";"45";0;0;0;0;"Germany";"AgeGender"
"172";"Schleswig-Holstein";"15";"34";"Germany";"2020/11/04";"2020";"45";0;0;0;0;"Germany";"AgeGender"
"173";"Schleswig-Holstein";"5";"14";"Germany";"2020/11/04";"2020";"45";0;0;0;0;"Germany";"AgeGender"
"174";"Schleswig-Holstein";NA;NA;"Germany";"2020/11/04";"2020";"45";0;0;0;0;"Germany";"AgeGender"
"175";"Schleswig-Holstein";"0";"4";"Germany";"2020/11/04";"2020";"45";0;0;0;0;"Germany";"AgeGender"
"176";"Schleswig-Holstein";"60";"79";"Germany";"2020/11/16";"2020";"47";1;1;0;2;"Germany";"AgeGender"
"177";"Schleswig-Holstein";"80";NA;"Germany";"2020/11/16";"2020";"47";0;3;0;3;"Germany";"AgeGender"
"178";"Schleswig-Holstein";"35";"59";"Germany";"2020/11/16";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"179";"Schleswig-Holstein";"15";"34";"Germany";"2020/11/16";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"180";"Schleswig-Holstein";"5";"14";"Germany";"2020/11/16";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"181";"Schleswig-Holstein";NA;NA;"Germany";"2020/11/16";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"182";"Schleswig-Holstein";"0";"4";"Germany";"2020/11/16";"2020";"47";0;0;0;0;"Germany";"AgeGender"
