"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"267";"2021-02-17";"2021";"07";"9";"5";"4";"0";"Switzerland";"Gender"
"268";"2020-08-10";"2020";"33";"1";"1";"0";"0";"Switzerland";"Gender"
"269";"2020-07-31";"2020";"31";"2";"2";"0";"0";"Switzerland";"Gender"
"270";"2020-07-25";"2020";"30";"1";"0";"1";"0";"Switzerland";"Gender"
"271";"2021-03-24";"2021";"12";"3";"2";"1";"0";"Switzerland";"Gender"
"272";"2020-07-24";"2020";"30";"1";"1";"0";"0";"Switzerland";"Gender"
"273";"2020-10-09";"2020";"41";"3";"3";"0";"0";"Switzerland";"Gender"
"274";"2020-03-11";"2020";"11";"3";"2";"1";"0";"Switzerland";"Gender"
"275";"2020-05-26";"2020";"22";"2";"1";"1";"0";"Switzerland";"Gender"
"276";"2020-03-10";"2020";"11";"2";"0";"2";"0";"Switzerland";"Gender"
"277";"2020-06-22";"2020";"26";"1";"1";"0";"0";"Switzerland";"Gender"
"278";"2020-09-19";"2020";"38";"1";"1";"0";"0";"Switzerland";"Gender"
"279";"2020-08-15";"2020";"33";"3";"2";"1";"0";"Switzerland";"Gender"
"280";"2020-09-09";"2020";"37";"7";"4";"3";"0";"Switzerland";"Gender"
"281";"2020-09-28";"2020";"40";"3";"3";"0";"0";"Switzerland";"Gender"
"282";"2020-05-19";"2020";"21";"4";"3";"1";"0";"Switzerland";"Gender"
"283";"2020-10-06";"2020";"41";"1";"1";"0";"0";"Switzerland";"Gender"
"284";"2020-07-13";"2020";"29";"1";"1";"0";"0";"Switzerland";"Gender"
"285";"2020-09-04";"2020";"36";"2";"0";"2";"0";"Switzerland";"Gender"
"286";"2020-06-12";"2020";"24";"1";"0";"1";"0";"Switzerland";"Gender"
"287";"2020-08-07";"2020";"32";"1";"1";"0";"0";"Switzerland";"Gender"
"288";"2021-03-28";"2021";"12";"1";"1";"0";"0";"Switzerland";"Gender"
"289";"2020-06-16";"2020";"25";"1";"0";"1";"0";"Switzerland";"Gender"
"290";"2020-07-20";"2020";"30";"2";"2";"0";"0";"Switzerland";"Gender"
"291";"2021-03-12";"2021";"10";"7";"5";"2";"0";"Switzerland";"Gender"
"292";"2020-08-13";"2020";"33";"1";"1";"0";"0";"Switzerland";"Gender"
"293";"2020-10-02";"2020";"40";"1";"0";"1";"0";"Switzerland";"Gender"
"294";"2020-08-30";"2020";"35";"1";"0";"1";"0";"Switzerland";"Gender"
"295";"2020-07-01";"2020";"27";"1";"0";"1";"0";"Switzerland";"Gender"
"296";"2020-05-11";"2020";"20";"3";"2";"1";"0";"Switzerland";"Gender"
"297";"2020-08-22";"2020";"34";"1";"0";"1";"0";"Switzerland";"Gender"
"298";"2020-08-06";"2020";"32";"1";"1";"0";"0";"Switzerland";"Gender"
"299";"2020-10-10";"2020";"41";"3";"2";"1";"0";"Switzerland";"Gender"
"300";"2020-09-07";"2020";"37";"1";"1";"0";"0";"Switzerland";"Gender"
"301";"2020-10-08";"2020";"41";"3";"2";"1";"0";"Switzerland";"Gender"
"302";"2021-03-26";"2021";"12";"2";"2";"0";"0";"Switzerland";"Gender"
"303";"2020-05-06";"2020";"19";"4";"4";"0";"0";"Switzerland";"Gender"
"304";"2020-05-14";"2020";"20";"2";"1";"1";"0";"Switzerland";"Gender"
"305";"2020-06-08";"2020";"24";"1";"1";"0";"0";"Switzerland";"Gender"
"306";"2020-08-23";"2020";"34";"2";"2";"0";"0";"Switzerland";"Gender"
"307";"2020-09-03";"2020";"36";"1";"1";"0";"0";"Switzerland";"Gender"
"308";"2020-06-10";"2020";"24";"1";"1";"0";"0";"Switzerland";"Gender"
"309";"2020-05-22";"2020";"21";"1";"0";"1";"0";"Switzerland";"Gender"
"310";"2020-03-08";"2020";"10";"1";"1";"0";"0";"Switzerland";"Gender"
"311";"2020-05-13";"2020";"20";"1";"1";"0";"0";"Switzerland";"Gender"
"312";"2021-03-27";"2021";"12";"1";"0";"1";"0";"Switzerland";"Gender"
"313";"2020-08-21";"2020";"34";"1";"0";"1";"0";"Switzerland";"Gender"
"314";"2020-09-22";"2020";"39";"1";"0";"1";"0";"Switzerland";"Gender"
"315";"2020-07-16";"2020";"29";"1";"1";"0";"0";"Switzerland";"Gender"
"316";"2020-06-21";"2020";"25";"1";"0";"1";"0";"Switzerland";"Gender"
"317";"2020-09-27";"2020";"39";"1";"1";"0";"0";"Switzerland";"Gender"
"318";"2020-08-08";"2020";"32";"1";"0";"1";"0";"Switzerland";"Gender"
