"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"170";NA;NA;"Spain";"2020-01-17";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"171";"0";"9";"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"172";"10";"19";"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"173";"20";"29";"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"174";"30";"39";"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"175";"40";"49";"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"176";"50";"59";"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"177";"60";"69";"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"178";"70";"79";"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"179";"80";NA;"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"180";NA;NA;"Spain";"2020-01-18";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"181";"0";"9";"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"182";"10";"19";"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"183";"20";"29";"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"184";"30";"39";"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"185";"40";"49";"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"186";"50";"59";"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"187";"60";"69";"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"188";"70";"79";"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"189";"80";NA;"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"190";NA;NA;"Spain";"2020-01-19";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"191";"0";"9";"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"192";"10";"19";"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"193";"20";"29";"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"194";"30";"39";"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"195";"40";"49";"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"196";"50";"59";"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"197";"60";"69";"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"198";"70";"79";"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"199";"80";NA;"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"200";NA;NA;"Spain";"2020-01-20";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"201";"0";"9";"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"202";"10";"19";"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"203";"20";"29";"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"204";"30";"39";"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"205";"40";"49";"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
"206";"50";"59";"Spain";"2020-01-21";"2020";"04";0;0;0;0;"Spain";"AgeGender"
