"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2000W99","United Kingdom","Total","Number",":",""
"2001W01","Belgium","Total","Number","2 282",""
"2001W01","Denmark","Total","Number",":",""
"2001W01","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W01","Spain","Total","Number","7 465",""
"2001W01","Italy","Total","Number",":",""
"2001W01","Sweden","Total","Number","1 968",""
"2001W01","Switzerland","Total","Number","1 265",""
"2001W01","United Kingdom","Total","Number",":",""
"2001W02","Belgium","Total","Number","2 244",""
"2001W02","Denmark","Total","Number",":",""
"2001W02","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W02","Spain","Total","Number","7 281",""
"2001W02","Italy","Total","Number",":",""
"2001W02","Sweden","Total","Number","1 853",""
"2001W02","Switzerland","Total","Number","1 308",""
"2001W02","United Kingdom","Total","Number",":",""
"2001W03","Belgium","Total","Number","2 300",""
"2001W03","Denmark","Total","Number",":",""
"2001W03","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W03","Spain","Total","Number","7 138",""
"2001W03","Italy","Total","Number",":",""
"2001W03","Sweden","Total","Number","1 810",""
"2001W03","Switzerland","Total","Number","1 219",""
"2001W03","United Kingdom","Total","Number",":",""
"2001W04","Belgium","Total","Number","2 302",""
"2001W04","Denmark","Total","Number",":",""
"2001W04","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W04","Spain","Total","Number","7 435",""
"2001W04","Italy","Total","Number",":",""
"2001W04","Sweden","Total","Number","1 801",""
"2001W04","Switzerland","Total","Number","1 257",""
"2001W04","United Kingdom","Total","Number",":",""
"2001W05","Belgium","Total","Number","2 241",""
"2001W05","Denmark","Total","Number",":",""
"2001W05","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W05","Spain","Total","Number","7 359",""
"2001W05","Italy","Total","Number",":",""
"2001W05","Sweden","Total","Number","1 797",""
"2001W05","Switzerland","Total","Number","1 259",""
"2001W05","United Kingdom","Total","Number",":",""
"2001W06","Belgium","Total","Number","2 239",""
"2001W06","Denmark","Total","Number",":",""
"2001W06","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W06","Spain","Total","Number","7 147",""
"2001W06","Italy","Total","Number",":",""
"2001W06","Sweden","Total","Number","1 855",""
"2001W06","Switzerland","Total","Number","1 283",""
"2001W06","United Kingdom","Total","Number",":",""
"2001W07","Belgium","Total","Number","2 055",""
"2001W07","Denmark","Total","Number",":",""
"2001W07","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W07","Spain","Total","Number","7 239",""
"2001W07","Italy","Total","Number",":",""
"2001W07","Sweden","Total","Number","1 792",""
"2001W07","Switzerland","Total","Number","1 203",""
"2001W07","United Kingdom","Total","Number",":",""
"2001W08","Belgium","Total","Number","1 988",""
"2001W08","Denmark","Total","Number",":",""
"2001W08","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W08","Spain","Total","Number","7 141",""
"2001W08","Italy","Total","Number",":",""
"2001W08","Sweden","Total","Number","1 907",""
"2001W08","Switzerland","Total","Number","1 204",""
"2001W08","United Kingdom","Total","Number",":",""
"2001W09","Belgium","Total","Number","2 134",""
"2001W09","Denmark","Total","Number",":",""
"2001W09","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W09","Spain","Total","Number","7 425",""
"2001W09","Italy","Total","Number",":",""
"2001W09","Sweden","Total","Number","1 903",""
"2001W09","Switzerland","Total","Number","1 249",""
"2001W09","United Kingdom","Total","Number",":",""
"2001W10","Belgium","Total","Number","2 177",""
"2001W10","Denmark","Total","Number",":",""
"2001W10","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W10","Spain","Total","Number","7 431",""
"2001W10","Italy","Total","Number",":",""
"2001W10","Sweden","Total","Number","1 905",""
"2001W10","Switzerland","Total","Number","1 216",""
"2001W10","United Kingdom","Total","Number",":",""
"2001W11","Belgium","Total","Number","2 016",""
"2001W11","Denmark","Total","Number",":",""
"2001W11","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W11","Spain","Total","Number","6 829",""
"2001W11","Italy","Total","Number",":",""
"2001W11","Sweden","Total","Number","1 820",""
"2001W11","Switzerland","Total","Number","1 212",""
"2001W11","United Kingdom","Total","Number",":",""
"2001W12","Belgium","Total","Number","1 960",""
"2001W12","Denmark","Total","Number",":",""
"2001W12","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W12","Spain","Total","Number","6 784",""
"2001W12","Italy","Total","Number",":",""
"2001W12","Sweden","Total","Number","1 842",""
"2001W12","Switzerland","Total","Number","1 252",""
"2001W12","United Kingdom","Total","Number",":",""
"2001W13","Belgium","Total","Number","2 050",""
"2001W13","Denmark","Total","Number",":",""
"2001W13","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W13","Spain","Total","Number","6 591",""
"2001W13","Italy","Total","Number",":",""
"2001W13","Sweden","Total","Number","1 806",""
"2001W13","Switzerland","Total","Number","1 150",""
"2001W13","United Kingdom","Total","Number",":",""
"2001W14","Belgium","Total","Number","2 107",""
"2001W14","Denmark","Total","Number",":",""
"2001W14","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W14","Spain","Total","Number","6 714",""
"2001W14","Italy","Total","Number",":",""
"2001W14","Sweden","Total","Number","1 806",""
"2001W14","Switzerland","Total","Number","1 175",""
"2001W14","United Kingdom","Total","Number",":",""
"2001W15","Belgium","Total","Number","1 892",""
"2001W15","Denmark","Total","Number",":",""
"2001W15","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W15","Spain","Total","Number","6 629",""
"2001W15","Italy","Total","Number",":",""
"2001W15","Sweden","Total","Number","1 861",""
"2001W15","Switzerland","Total","Number","1 119",""
"2001W15","United Kingdom","Total","Number",":",""
"2001W16","Belgium","Total","Number","1 986",""
"2001W16","Denmark","Total","Number",":",""
"2001W16","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W16","Spain","Total","Number","6 654",""
"2001W16","Italy","Total","Number",":",""
"2001W16","Sweden","Total","Number","1 901",""
"2001W16","Switzerland","Total","Number","1 161",""
"2001W16","United Kingdom","Total","Number",":",""
"2001W17","Belgium","Total","Number","1 989",""
"2001W17","Denmark","Total","Number",":",""
"2001W17","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W17","Spain","Total","Number","6 796",""
"2001W17","Italy","Total","Number",":",""
"2001W17","Sweden","Total","Number","1 771",""
"2001W17","Switzerland","Total","Number","1 180",""
"2001W17","United Kingdom","Total","Number",":",""
"2001W18","Belgium","Total","Number","2 021",""
"2001W18","Denmark","Total","Number",":",""
"2001W18","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W18","Spain","Total","Number","6 665",""
"2001W18","Italy","Total","Number",":",""
"2001W18","Sweden","Total","Number","1 820",""
"2001W18","Switzerland","Total","Number","1 165",""
"2001W18","United Kingdom","Total","Number",":",""
"2001W19","Belgium","Total","Number","2 096",""
"2001W19","Denmark","Total","Number",":",""
"2001W19","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2001W19","Spain","Total","Number","6 769",""
"2001W19","Italy","Total","Number",":",""
"2001W19","Sweden","Total","Number","1 764",""
"2001W19","Switzerland","Total","Number","1 137",""
"2001W19","United Kingdom","Total","Number",":",""
"2001W20","Belgium","Total","Number","1 929",""
"2001W20","Denmark","Total","Number",":",""
"2001W20","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
